anio,valor,traslado,embarazadas-empleo-informal,sobrecarga-embarazadas,apoyo-embarazadas,frecuencia-transporte,apoyo-infantil
2016,42.003125,0.480096875,0.665221875,0.497971875,NA,0.07001875,NA
2017,40.996875,0.51344375,0.657853125,0.5027125,NA,0.13794375,NA
2018,43.003125,0.494484375,0.700578125,0.482778125,NA,0.20851250000000002,NA
2019,42,0.463375,0.689009375,0.49230625,0.158384375,0.21726875,NA
2020,76.0125,0.53929375,0.7347125,0.543046875,0.12589375,0.264421875,NA
2021,59.99375,0.538484375,0.71285625,0.53199375,0.13158125,0.2705,NA
2022,52,0.501259375,0.689109375,0.503703125,0.1888125,0.356728125,NA
2023,45.99375,0.47259375,0.674790625,0.497721875,0.282053125,0.388546875,NA
2024,40.996875,0.472309375,0.676703125,0.520634375,0.280625,0.50394375,NA
2025,37.990625,0.46209375,0.696228125,0.53485,0.271734375,0.57350625,NA
