iso3,Territorio,cod_local,anio,zona,etnia,valor
COL,Altos del Sol,NA,2016,periurbano,Indígena,NA
COL,Altos del Sol,NA,2016,periurbano,No indígena,NA
COL,Altos del Sol,NA,2016,periurbano,Total,NA
COL,Altos del Sol,NA,2017,periurbano,Indígena,NA
COL,Altos del Sol,NA,2017,periurbano,No indígena,NA
COL,Altos del Sol,NA,2017,periurbano,Total,NA
COL,Altos del Sol,NA,2018,periurbano,Indígena,NA
COL,Altos del Sol,NA,2018,periurbano,No indígena,NA
COL,Altos del Sol,NA,2018,periurbano,Total,NA
COL,Altos del Sol,NA,2019,periurbano,Indígena,NA
COL,Altos del Sol,NA,2019,periurbano,No indígena,NA
COL,Altos del Sol,NA,2019,periurbano,Total,NA
COL,Altos del Sol,NA,2020,periurbano,Indígena,0
COL,Altos del Sol,NA,2020,periurbano,No indígena,0.0309
COL,Altos del Sol,NA,2020,periurbano,Total,0.0216
COL,Altos del Sol,NA,2021,periurbano,Indígena,0.1346
COL,Altos del Sol,NA,2021,periurbano,No indígena,0.1946
COL,Altos del Sol,NA,2021,periurbano,Total,0.1761
COL,Altos del Sol,NA,2022,periurbano,Indígena,0.3047
COL,Altos del Sol,NA,2022,periurbano,No indígena,0.3647
COL,Altos del Sol,NA,2022,periurbano,Total,0.3466
COL,Altos del Sol,NA,2023,periurbano,Indígena,0.3283
COL,Altos del Sol,NA,2023,periurbano,No indígena,0.3383
COL,Altos del Sol,NA,2023,periurbano,Total,0.3353
COL,Altos del Sol,NA,2024,periurbano,Indígena,0.4067
COL,Altos del Sol,NA,2024,periurbano,No indígena,0.4167
COL,Altos del Sol,NA,2024,periurbano,Total,0.4137
COL,Altos del Sol,NA,2025,periurbano,Indígena,0.579
COL,Altos del Sol,NA,2025,periurbano,No indígena,0.589
COL,Altos del Sol,NA,2025,periurbano,Total,0.586
COL,Bosques del Valle,NA,2016,periurbano,Indígena,NA
COL,Bosques del Valle,NA,2016,periurbano,No indígena,NA
COL,Bosques del Valle,NA,2016,periurbano,Total,NA
COL,Bosques del Valle,NA,2017,periurbano,Indígena,NA
COL,Bosques del Valle,NA,2017,periurbano,No indígena,NA
COL,Bosques del Valle,NA,2017,periurbano,Total,NA
COL,Bosques del Valle,NA,2018,periurbano,Indígena,NA
COL,Bosques del Valle,NA,2018,periurbano,No indígena,NA
COL,Bosques del Valle,NA,2018,periurbano,Total,NA
COL,Bosques del Valle,NA,2019,periurbano,Indígena,NA
COL,Bosques del Valle,NA,2019,periurbano,No indígena,NA
COL,Bosques del Valle,NA,2019,periurbano,Total,NA
COL,Bosques del Valle,NA,2020,periurbano,Indígena,0
COL,Bosques del Valle,NA,2020,periurbano,No indígena,0.0018
COL,Bosques del Valle,NA,2020,periurbano,Total,0.0013
COL,Bosques del Valle,NA,2021,periurbano,Indígena,0.0323
COL,Bosques del Valle,NA,2021,periurbano,No indígena,0.0923
COL,Bosques del Valle,NA,2021,periurbano,Total,0.0745
COL,Bosques del Valle,NA,2022,periurbano,Indígena,0.0987
COL,Bosques del Valle,NA,2022,periurbano,No indígena,0.1587
COL,Bosques del Valle,NA,2022,periurbano,Total,0.1405
COL,Bosques del Valle,NA,2023,periurbano,Indígena,0.3424
COL,Bosques del Valle,NA,2023,periurbano,No indígena,0.3524
COL,Bosques del Valle,NA,2023,periurbano,Total,0.3493
COL,Bosques del Valle,NA,2024,periurbano,Indígena,0.3885
COL,Bosques del Valle,NA,2024,periurbano,No indígena,0.3985
COL,Bosques del Valle,NA,2024,periurbano,Total,0.3955
COL,Bosques del Valle,NA,2025,periurbano,Indígena,0.5439
COL,Bosques del Valle,NA,2025,periurbano,No indígena,0.5539
COL,Bosques del Valle,NA,2025,periurbano,Total,0.5509
COL,Colinas del Valle,NA,2016,rural,Indígena,NA
COL,Colinas del Valle,NA,2016,rural,No indígena,NA
COL,Colinas del Valle,NA,2016,rural,Total,NA
COL,Colinas del Valle,NA,2017,rural,Indígena,NA
COL,Colinas del Valle,NA,2017,rural,No indígena,NA
COL,Colinas del Valle,NA,2017,rural,Total,NA
COL,Colinas del Valle,NA,2018,rural,Indígena,NA
COL,Colinas del Valle,NA,2018,rural,No indígena,NA
COL,Colinas del Valle,NA,2018,rural,Total,NA
COL,Colinas del Valle,NA,2019,rural,Indígena,NA
COL,Colinas del Valle,NA,2019,rural,No indígena,NA
COL,Colinas del Valle,NA,2019,rural,Total,NA
COL,Colinas del Valle,NA,2020,rural,Indígena,0
COL,Colinas del Valle,NA,2020,rural,No indígena,0
COL,Colinas del Valle,NA,2020,rural,Total,0
COL,Colinas del Valle,NA,2021,rural,Indígena,0
COL,Colinas del Valle,NA,2021,rural,No indígena,0
COL,Colinas del Valle,NA,2021,rural,Total,0
COL,Colinas del Valle,NA,2022,rural,Indígena,0
COL,Colinas del Valle,NA,2022,rural,No indígena,0
COL,Colinas del Valle,NA,2022,rural,Total,0
COL,Colinas del Valle,NA,2023,rural,Indígena,0.0055
COL,Colinas del Valle,NA,2023,rural,No indígena,0.0155
COL,Colinas del Valle,NA,2023,rural,Total,0.0108
COL,Colinas del Valle,NA,2024,rural,Indígena,0.0243
COL,Colinas del Valle,NA,2024,rural,No indígena,0.0343
COL,Colinas del Valle,NA,2024,rural,Total,0.0297
COL,Colinas del Valle,NA,2025,rural,Indígena,0.3736
COL,Colinas del Valle,NA,2025,rural,No indígena,0.3836
COL,Colinas del Valle,NA,2025,rural,Total,0.3789
COL,El Carmen,NA,2016,periurbano,Indígena,NA
COL,El Carmen,NA,2016,periurbano,No indígena,NA
COL,El Carmen,NA,2016,periurbano,Total,NA
COL,El Carmen,NA,2017,periurbano,Indígena,NA
COL,El Carmen,NA,2017,periurbano,No indígena,NA
COL,El Carmen,NA,2017,periurbano,Total,NA
COL,El Carmen,NA,2018,periurbano,Indígena,NA
COL,El Carmen,NA,2018,periurbano,No indígena,NA
COL,El Carmen,NA,2018,periurbano,Total,NA
COL,El Carmen,NA,2019,periurbano,Indígena,NA
COL,El Carmen,NA,2019,periurbano,No indígena,NA
COL,El Carmen,NA,2019,periurbano,Total,NA
COL,El Carmen,NA,2020,periurbano,Indígena,0
COL,El Carmen,NA,2020,periurbano,No indígena,0
COL,El Carmen,NA,2020,periurbano,Total,0
COL,El Carmen,NA,2021,periurbano,Indígena,0
COL,El Carmen,NA,2021,periurbano,No indígena,0.0503
COL,El Carmen,NA,2021,periurbano,Total,0.0353
COL,El Carmen,NA,2022,periurbano,Indígena,0
COL,El Carmen,NA,2022,periurbano,No indígena,0.0357
COL,El Carmen,NA,2022,periurbano,Total,0.0249
COL,El Carmen,NA,2023,periurbano,Indígena,0.3612
COL,El Carmen,NA,2023,periurbano,No indígena,0.3712
COL,El Carmen,NA,2023,periurbano,Total,0.3681
COL,El Carmen,NA,2024,periurbano,Indígena,0.3119
COL,El Carmen,NA,2024,periurbano,No indígena,0.3219
COL,El Carmen,NA,2024,periurbano,Total,0.3189
COL,El Carmen,NA,2025,periurbano,Indígena,0.3355
COL,El Carmen,NA,2025,periurbano,No indígena,0.3455
COL,El Carmen,NA,2025,periurbano,Total,0.3425
COL,El Edén,NA,2016,periurbano,Indígena,NA
COL,El Edén,NA,2016,periurbano,No indígena,NA
COL,El Edén,NA,2016,periurbano,Total,NA
COL,El Edén,NA,2017,periurbano,Indígena,NA
COL,El Edén,NA,2017,periurbano,No indígena,NA
COL,El Edén,NA,2017,periurbano,Total,NA
COL,El Edén,NA,2018,periurbano,Indígena,NA
COL,El Edén,NA,2018,periurbano,No indígena,NA
COL,El Edén,NA,2018,periurbano,Total,NA
COL,El Edén,NA,2019,periurbano,Indígena,NA
COL,El Edén,NA,2019,periurbano,No indígena,NA
COL,El Edén,NA,2019,periurbano,Total,NA
COL,El Edén,NA,2020,periurbano,Indígena,0.0495
COL,El Edén,NA,2020,periurbano,No indígena,0.1095
COL,El Edén,NA,2020,periurbano,Total,0.0912
COL,El Edén,NA,2021,periurbano,Indígena,0.2045
COL,El Edén,NA,2021,periurbano,No indígena,0.2645
COL,El Edén,NA,2021,periurbano,Total,0.2466
COL,El Edén,NA,2022,periurbano,Indígena,0.0629
COL,El Edén,NA,2022,periurbano,No indígena,0.1229
COL,El Edén,NA,2022,periurbano,Total,0.1054
COL,El Edén,NA,2023,periurbano,Indígena,0.323
COL,El Edén,NA,2023,periurbano,No indígena,0.333
COL,El Edén,NA,2023,periurbano,Total,0.33
COL,El Edén,NA,2024,periurbano,Indígena,0.4534
COL,El Edén,NA,2024,periurbano,No indígena,0.4634
COL,El Edén,NA,2024,periurbano,Total,0.4604
COL,El Edén,NA,2025,periurbano,Indígena,0.6887
COL,El Edén,NA,2025,periurbano,No indígena,0.6987
COL,El Edén,NA,2025,periurbano,Total,0.6957
COL,El Mirador,NA,2016,rural,Indígena,NA
COL,El Mirador,NA,2016,rural,No indígena,NA
COL,El Mirador,NA,2016,rural,Total,NA
COL,El Mirador,NA,2017,rural,Indígena,NA
COL,El Mirador,NA,2017,rural,No indígena,NA
COL,El Mirador,NA,2017,rural,Total,NA
COL,El Mirador,NA,2018,rural,Indígena,NA
COL,El Mirador,NA,2018,rural,No indígena,NA
COL,El Mirador,NA,2018,rural,Total,NA
COL,El Mirador,NA,2019,rural,Indígena,NA
COL,El Mirador,NA,2019,rural,No indígena,NA
COL,El Mirador,NA,2019,rural,Total,NA
COL,El Mirador,NA,2020,rural,Indígena,0
COL,El Mirador,NA,2020,rural,No indígena,0
COL,El Mirador,NA,2020,rural,Total,0
COL,El Mirador,NA,2021,rural,Indígena,0.0805
COL,El Mirador,NA,2021,rural,No indígena,0.1405
COL,El Mirador,NA,2021,rural,Total,0.1132
COL,El Mirador,NA,2022,rural,Indígena,0.014
COL,El Mirador,NA,2022,rural,No indígena,0.074
COL,El Mirador,NA,2022,rural,Total,0.0467
COL,El Mirador,NA,2023,rural,Indígena,0.0469
COL,El Mirador,NA,2023,rural,No indígena,0.0569
COL,El Mirador,NA,2023,rural,Total,0.0524
COL,El Mirador,NA,2024,rural,Indígena,0
COL,El Mirador,NA,2024,rural,No indígena,0
COL,El Mirador,NA,2024,rural,Total,0
COL,El Mirador,NA,2025,rural,Indígena,0.1544
COL,El Mirador,NA,2025,rural,No indígena,0.1644
COL,El Mirador,NA,2025,rural,Total,0.1598
COL,El Porvenir,NA,2016,rural,Indígena,NA
COL,El Porvenir,NA,2016,rural,No indígena,NA
COL,El Porvenir,NA,2016,rural,Total,NA
COL,El Porvenir,NA,2017,rural,Indígena,NA
COL,El Porvenir,NA,2017,rural,No indígena,NA
COL,El Porvenir,NA,2017,rural,Total,NA
COL,El Porvenir,NA,2018,rural,Indígena,NA
COL,El Porvenir,NA,2018,rural,No indígena,NA
COL,El Porvenir,NA,2018,rural,Total,NA
COL,El Porvenir,NA,2019,rural,Indígena,NA
COL,El Porvenir,NA,2019,rural,No indígena,NA
COL,El Porvenir,NA,2019,rural,Total,NA
COL,El Porvenir,NA,2020,rural,Indígena,0.0184
COL,El Porvenir,NA,2020,rural,No indígena,0.0784
COL,El Porvenir,NA,2020,rural,Total,0.0507
COL,El Porvenir,NA,2021,rural,Indígena,0.0627
COL,El Porvenir,NA,2021,rural,No indígena,0.1227
COL,El Porvenir,NA,2021,rural,Total,0.096
COL,El Porvenir,NA,2022,rural,Indígena,0
COL,El Porvenir,NA,2022,rural,No indígena,0
COL,El Porvenir,NA,2022,rural,Total,0
COL,El Porvenir,NA,2023,rural,Indígena,0.3797
COL,El Porvenir,NA,2023,rural,No indígena,0.3897
COL,El Porvenir,NA,2023,rural,Total,0.3852
COL,El Porvenir,NA,2024,rural,Indígena,0.4075
COL,El Porvenir,NA,2024,rural,No indígena,0.4175
COL,El Porvenir,NA,2024,rural,Total,0.413
COL,El Porvenir,NA,2025,rural,Indígena,0.3022
COL,El Porvenir,NA,2025,rural,No indígena,0.3122
COL,El Porvenir,NA,2025,rural,Total,0.3077
COL,La Alameda,NA,2016,rural,Indígena,NA
COL,La Alameda,NA,2016,rural,No indígena,NA
COL,La Alameda,NA,2016,rural,Total,NA
COL,La Alameda,NA,2017,rural,Indígena,NA
COL,La Alameda,NA,2017,rural,No indígena,NA
COL,La Alameda,NA,2017,rural,Total,NA
COL,La Alameda,NA,2018,rural,Indígena,NA
COL,La Alameda,NA,2018,rural,No indígena,NA
COL,La Alameda,NA,2018,rural,Total,NA
COL,La Alameda,NA,2019,rural,Indígena,NA
COL,La Alameda,NA,2019,rural,No indígena,NA
COL,La Alameda,NA,2019,rural,Total,NA
COL,La Alameda,NA,2020,rural,Indígena,0
COL,La Alameda,NA,2020,rural,No indígena,0
COL,La Alameda,NA,2020,rural,Total,0
COL,La Alameda,NA,2021,rural,Indígena,0
COL,La Alameda,NA,2021,rural,No indígena,0
COL,La Alameda,NA,2021,rural,Total,0
COL,La Alameda,NA,2022,rural,Indígena,0
COL,La Alameda,NA,2022,rural,No indígena,0.0538
COL,La Alameda,NA,2022,rural,Total,0.0292
COL,La Alameda,NA,2023,rural,Indígena,0.3348
COL,La Alameda,NA,2023,rural,No indígena,0.3448
COL,La Alameda,NA,2023,rural,Total,0.3402
COL,La Alameda,NA,2024,rural,Indígena,0.3521
COL,La Alameda,NA,2024,rural,No indígena,0.3621
