iso3,Territorio,cod_local,anio,zona,etnia,valor
COL,San Martín del Valle,NA,2016,Total,Indígena,NA
COL,San Martín del Valle,NA,2016,Total,No indígena,NA
COL,San Martín del Valle,NA,2016,Total,Total,NA
COL,San Martín del Valle,NA,2016,periurbano,Indígena,NA
COL,San Martín del Valle,NA,2016,periurbano,No indígena,NA
COL,San Martín del Valle,NA,2016,periurbano,Total,NA
COL,San Martín del Valle,NA,2016,rural,Indígena,NA
COL,San Martín del Valle,NA,2016,rural,No indígena,NA
COL,San Martín del Valle,NA,2016,rural,Total,NA
COL,San Martín del Valle,NA,2016,urbano,Indígena,NA
COL,San Martín del Valle,NA,2016,urbano,No indígena,NA
COL,San Martín del Valle,NA,2016,urbano,Total,NA
COL,San Martín del Valle,NA,2017,Total,Indígena,NA
COL,San Martín del Valle,NA,2017,Total,No indígena,NA
COL,San Martín del Valle,NA,2017,Total,Total,NA
COL,San Martín del Valle,NA,2017,periurbano,Indígena,NA
COL,San Martín del Valle,NA,2017,periurbano,No indígena,NA
COL,San Martín del Valle,NA,2017,periurbano,Total,NA
COL,San Martín del Valle,NA,2017,rural,Indígena,NA
COL,San Martín del Valle,NA,2017,rural,No indígena,NA
COL,San Martín del Valle,NA,2017,rural,Total,NA
COL,San Martín del Valle,NA,2017,urbano,Indígena,NA
COL,San Martín del Valle,NA,2017,urbano,No indígena,NA
COL,San Martín del Valle,NA,2017,urbano,Total,NA
COL,San Martín del Valle,NA,2018,Total,Indígena,NA
COL,San Martín del Valle,NA,2018,Total,No indígena,NA
COL,San Martín del Valle,NA,2018,Total,Total,NA
COL,San Martín del Valle,NA,2018,periurbano,Indígena,NA
COL,San Martín del Valle,NA,2018,periurbano,No indígena,NA
COL,San Martín del Valle,NA,2018,periurbano,Total,NA
COL,San Martín del Valle,NA,2018,rural,Indígena,NA
COL,San Martín del Valle,NA,2018,rural,No indígena,NA
COL,San Martín del Valle,NA,2018,rural,Total,NA
COL,San Martín del Valle,NA,2018,urbano,Indígena,NA
COL,San Martín del Valle,NA,2018,urbano,No indígena,NA
COL,San Martín del Valle,NA,2018,urbano,Total,NA
COL,San Martín del Valle,NA,2019,Total,Indígena,NA
COL,San Martín del Valle,NA,2019,Total,No indígena,NA
COL,San Martín del Valle,NA,2019,Total,Total,NA
COL,San Martín del Valle,NA,2019,periurbano,Indígena,NA
COL,San Martín del Valle,NA,2019,periurbano,No indígena,NA
COL,San Martín del Valle,NA,2019,periurbano,Total,NA
COL,San Martín del Valle,NA,2019,rural,Indígena,NA
COL,San Martín del Valle,NA,2019,rural,No indígena,NA
COL,San Martín del Valle,NA,2019,rural,Total,NA
COL,San Martín del Valle,NA,2019,urbano,Indígena,NA
COL,San Martín del Valle,NA,2019,urbano,No indígena,NA
COL,San Martín del Valle,NA,2019,urbano,Total,NA
COL,San Martín del Valle,NA,2020,Total,Indígena,0.0256
COL,San Martín del Valle,NA,2020,Total,No indígena,0.0681
COL,San Martín del Valle,NA,2020,Total,Total,0.0548
COL,San Martín del Valle,NA,2020,periurbano,Indígena,0.0273
