anio,indicador,label,correlacion,ci_lower,ci_upper,p_value,n
2016,traslado,Tiempo de traslado (>1h al CS),0.4464809384164223,0.11581154166114946,0.6880584530566618,0.010420274287839157,32
2016,embarazadas-empleo-informal,Empleo informal,0.48281550931401085,0.16126604357604854,0.7116958778916632,0.005127997391265107,32
2016,sobrecarga-embarazadas,Sobrecarga de cuidados,0.3277126099706745,-0.023694934013002274,0.607043561746984,0.0671003803631528,32
2016,frecuencia-transporte,Transporte subsidiado,0.06114052973445615,-0.2938235428857911,0.4012850993404068,0.739576833574014,32
2017,traslado,Tiempo de traslado (>1h al CS),0.5183284457478006,0.20705126338355023,0.7343085866274192,0.0023737554330335487,32
2017,embarazadas-empleo-informal,Empleo informal,0.4589442815249267,0.13124865818424206,0.6962246501103417,0.008239488595918961,32
2017,sobrecarga-embarazadas,Sobrecarga de cuidados,0.5421554252199413,0.23855412064505052,0.749216294669922,0.0013493105821345945,32
2017,frecuencia-transporte,Transporte subsidiado,-0.14075353077084657,-0.46655453634051275,0.21867925234044736,0.4422608942733137,32
2018,traslado,Tiempo de traslado (>1h al CS),0.4967008797653959,0.17900453430944477,0.7205941618571428,0.0038312654691543256,32
2018,embarazadas-empleo-informal,Empleo informal,0.6626340418261766,0.40826898747932494,0.8215144414270625,3.597497907609425e-5,32
2018,sobrecarga-embarazadas,Sobrecarga de cuidados,0.500733137829912,0.18419471590064812,0.7231644444609505,0.003512295026374917,32
2018,frecuencia-transporte,Transporte subsidiado,-0.10007331378299121,-0.43364101724492493,0.2576161893958566,0.5857889606625799,32
2019,traslado,Tiempo de traslado (>1h al CS),0.5960410557184751,0.3122362034626646,0.7821742543359087,3.1857804910275357e-4,32
2019,embarazadas-empleo-informal,Empleo informal,0.3823313782991203,0.03880496895308616,0.6450357689248049,0.03080774511300232,32
2019,sobrecarga-embarazadas,Sobrecarga de cuidados,0.187316715542522,-0.17266087298317248,0.5031520238270472,0.3046145589210498,32
2019,apoyo-embarazadas,Cobertura programa social,-0.47084711636619264,-0.7039666740350453,-0.14614139689249164,0.00653132585331868,32
2019,frecuencia-transporte,Transporte subsidiado,-0.10943830421583252,-0.44129773341080025,0.2487542825581221,0.551013980986155,32
2020,traslado,Tiempo de traslado (>1h al CS),0.5343231623577607,0.22812770794183776,0.7443389602252021,0.0016320340421266141,32
2020,embarazadas-empleo-informal,Empleo informal,0.2841690359358808,-0.07162845046326453,0.5758118572913441,0.11497043941451796,32
2020,sobrecarga-embarazadas,Sobrecarga de cuidados,0.1688204571291587,-0.19113081277139618,0.4887488002327963,0.35566807582021587,32
2020,apoyo-embarazadas,Cobertura programa social,-0.3060882922913532,-0.591640596781387,0.04770303802732472,0.08842309014348082,32
2020,frecuencia-transporte,Transporte subsidiado,0.21399102303916945,-0.14557114190977774,0.5236191228542496,0.23957956495398647,32
2021,traslado,Tiempo de traslado (>1h al CS),0.4893695014662756,0.1696129271052739,0.7159051023513807,0.004475438081696645,32
2021,embarazadas-empleo-informal,Empleo informal,0.46681337938797757,0.14107787386525264,0.7013491805622932,0.007072735323659286,32
2021,sobrecarga-embarazadas,Sobrecarga de cuidados,0.44538123167155425,0.11445706950582463,0.6873349565778957,0.010634130867438248,32
2021,apoyo-embarazadas,Cobertura programa social,-0.29073649148077674,-0.5805775210618344,0.0645026134194272,0.10646021847337146,32
2021,frecuencia-transporte,Transporte subsidiado,0.23939144083678748,-0.1192640619947133,0.5427821353353994,0.18696592682161556,32
2022,traslado,Tiempo de traslado (>1h al CS),0.7183576237667458,0.4932000464393553,0.8533106634188158,3.6613237961468305e-6,32
2022,embarazadas-empleo-informal,Empleo informal,0.5118709344083736,0.19862321043978476,0.7302321438021485,0.0027474355892086444,32
2022,sobrecarga-embarazadas,Sobrecarga de cuidados,0.484098618108695,0.1628965425636247,0.7125212352843026,0.004994186034676115,32
2022,apoyo-embarazadas,Cobertura programa social,-0.336664540102755,-0.6133591638482803,0.013636114667291107,0.059549907685645984,32
2022,frecuencia-transporte,Transporte subsidiado,0.18201814758876717,-0.17797790119654391,0.4990438303047624,0.3187424355393228,32
2023,traslado,Tiempo de traslado (>1h al CS),0.6733870967741935,0.42432237984326016,0.8277281211985987,2.403388214571849e-5,32
2023,embarazadas-empleo-informal,Empleo informal,0.4908357771260997,0.17148661382475172,0.716844551932254,0.004339640046971753,32
2023,sobrecarga-embarazadas,Sobrecarga de cuidados,0.6136363636363636,0.33705860083167205,0.7927150756341271,0.00018777656135414938,32
2023,apoyo-embarazadas,Cobertura programa social,-0.5128299120234604,-0.7308385036662239,-0.1998719024753366,0.0026889107948801483,32
2023,frecuencia-transporte,Transporte subsidiado,-0.1282991202346041,-0.45657286164668276,0.2307227730882544,0.48405565947613116,32
2024,traslado,Tiempo de traslado (>1h al CS),0.6076274702638483,0.32853816111100376,0.7891273287076255,2.2571605032115804e-4,32
2024,embarazadas-empleo-informal,Empleo informal,0.5691236172899774,0.2749980470909673,0.7658399781342982,6.757384576947451e-4,32
