iso3,Territorio,cod_local,anio,zona,etnia,valor
COL,Altos del Sol,NA,2016,Periurbano,Total,0
COL,Altos del Sol,NA,2017,Periurbano,Total,0.1194
COL,Altos del Sol,NA,2018,Periurbano,Total,0.0232
COL,Altos del Sol,NA,2019,Periurbano,Total,0.1576
COL,Altos del Sol,NA,2020,Periurbano,Total,0.0909
COL,Altos del Sol,NA,2021,Periurbano,Total,0.2225
COL,Altos del Sol,NA,2022,Periurbano,Total,0.079
COL,Altos del Sol,NA,2023,Periurbano,Total,0.4205
COL,Altos del Sol,NA,2024,Periurbano,Total,0.4662
COL,Altos del Sol,NA,2025,Periurbano,Total,0.7529
COL,Bosques del Valle,NA,2016,Periurbano,Total,0.0228
COL,Bosques del Valle,NA,2017,Periurbano,Total,0.3695
COL,Bosques del Valle,NA,2018,Periurbano,Total,0.4894
COL,Bosques del Valle,NA,2019,Periurbano,Total,0.2837
COL,Bosques del Valle,NA,2020,Periurbano,Total,0.304
COL,Bosques del Valle,NA,2021,Periurbano,Total,0
COL,Bosques del Valle,NA,2022,Periurbano,Total,0.3002
COL,Bosques del Valle,NA,2023,Periurbano,Total,0.4134
COL,Bosques del Valle,NA,2024,Periurbano,Total,0.5055
COL,Bosques del Valle,NA,2025,Periurbano,Total,0.254
COL,Colinas del Valle,NA,2016,Rural,Total,0
COL,Colinas del Valle,NA,2017,Rural,Total,0.0898
COL,Colinas del Valle,NA,2018,Rural,Total,0.3899
COL,Colinas del Valle,NA,2019,Rural,Total,0.3189
COL,Colinas del Valle,NA,2020,Rural,Total,0.4486
COL,Colinas del Valle,NA,2021,Rural,Total,0.2682
COL,Colinas del Valle,NA,2022,Rural,Total,0.2986
COL,Colinas del Valle,NA,2023,Rural,Total,0.2469
COL,Colinas del Valle,NA,2024,Rural,Total,0.5302
COL,Colinas del Valle,NA,2025,Rural,Total,0.4953
COL,El Carmen,NA,2016,Periurbano,Total,0.2068
COL,El Carmen,NA,2017,Periurbano,Total,0.1317
COL,El Carmen,NA,2018,Periurbano,Total,0.1878
COL,El Carmen,NA,2019,Periurbano,Total,0.2888
COL,El Carmen,NA,2020,Periurbano,Total,0.0895
COL,El Carmen,NA,2021,Periurbano,Total,0.2056
COL,El Carmen,NA,2022,Periurbano,Total,0.0968
COL,El Carmen,NA,2023,Periurbano,Total,0.2979
COL,El Carmen,NA,2024,Periurbano,Total,0.4379
COL,El Carmen,NA,2025,Periurbano,Total,0.4901
COL,El Edén,NA,2016,Periurbano,Total,0.0625
COL,El Edén,NA,2017,Periurbano,Total,0.3425
COL,El Edén,NA,2018,Periurbano,Total,0.3538
COL,El Edén,NA,2019,Periurbano,Total,0.4713
COL,El Edén,NA,2020,Periurbano,Total,0.4044
COL,El Edén,NA,2021,Periurbano,Total,0.4497
COL,El Edén,NA,2022,Periurbano,Total,0.5682
COL,El Edén,NA,2023,Periurbano,Total,0.5392
COL,El Edén,NA,2024,Periurbano,Total,0.4662
COL,El Edén,NA,2025,Periurbano,Total,0.4877
COL,El Mirador,NA,2016,Rural,Total,0.0834
COL,El Mirador,NA,2017,Rural,Total,0
COL,El Mirador,NA,2018,Rural,Total,0.1408
COL,El Mirador,NA,2019,Rural,Total,0.0811
COL,El Mirador,NA,2020,Rural,Total,0
COL,El Mirador,NA,2021,Rural,Total,0
COL,El Mirador,NA,2022,Rural,Total,0
COL,El Mirador,NA,2023,Rural,Total,0.2564
COL,El Mirador,NA,2024,Rural,Total,0.4119
COL,El Mirador,NA,2025,Rural,Total,0.3781
COL,El Porvenir,NA,2016,Rural,Total,0.1044
COL,El Porvenir,NA,2017,Rural,Total,0.0196
COL,El Porvenir,NA,2018,Rural,Total,0.1387
COL,El Porvenir,NA,2019,Rural,Total,0.1082
COL,El Porvenir,NA,2020,Rural,Total,0.2695
COL,El Porvenir,NA,2021,Rural,Total,0.2253
COL,El Porvenir,NA,2022,Rural,Total,0.5011
COL,El Porvenir,NA,2023,Rural,Total,0.2399
COL,El Porvenir,NA,2024,Rural,Total,0.5115
COL,El Porvenir,NA,2025,Rural,Total,0.5966
COL,La Alameda,NA,2016,Rural,Total,0.1624
COL,La Alameda,NA,2017,Rural,Total,0.2924
COL,La Alameda,NA,2018,Rural,Total,0.4714
COL,La Alameda,NA,2019,Rural,Total,0.594
COL,La Alameda,NA,2020,Rural,Total,0.6393
COL,La Alameda,NA,2021,Rural,Total,0.099
COL,La Alameda,NA,2022,Rural,Total,0.3718
COL,La Alameda,NA,2023,Rural,Total,0.435
COL,La Alameda,NA,2024,Rural,Total,0.4269
COL,La Alameda,NA,2025,Rural,Total,0.5051
COL,La Arboleda,NA,2016,Periurbano,Total,0.2299
COL,La Arboleda,NA,2017,Periurbano,Total,0
COL,La Arboleda,NA,2018,Periurbano,Total,0.4869
COL,La Arboleda,NA,2019,Periurbano,Total,0.247
COL,La Arboleda,NA,2020,Periurbano,Total,0.4437
COL,La Arboleda,NA,2021,Periurbano,Total,0.063
COL,La Arboleda,NA,2022,Periurbano,Total,0.2043
COL,La Arboleda,NA,2023,Periurbano,Total,0.1522
COL,La Arboleda,NA,2024,Periurbano,Total,0.1901
COL,La Arboleda,NA,2025,Periurbano,Total,0.6887
COL,La Cañada,NA,2016,Rural,Total,0.0765
COL,La Cañada,NA,2017,Rural,Total,0.1473
COL,La Cañada,NA,2018,Rural,Total,0.3993
COL,La Cañada,NA,2019,Rural,Total,0
COL,La Cañada,NA,2020,Rural,Total,0.1883
