iso3,Territorio,cod_local,anio,zona,etnia,valor
COL,Altos del Sol,NA,2016,Periurbano,Indígena,0
COL,Altos del Sol,NA,2016,Periurbano,No indígena,0
COL,Altos del Sol,NA,2016,Periurbano,Total,0
COL,Altos del Sol,NA,2017,Periurbano,Indígena,0.0994
COL,Altos del Sol,NA,2017,Periurbano,No indígena,0.1394
COL,Altos del Sol,NA,2017,Periurbano,Total,0.1194
COL,Altos del Sol,NA,2018,Periurbano,Indígena,0.0032
COL,Altos del Sol,NA,2018,Periurbano,No indígena,0.0432
COL,Altos del Sol,NA,2018,Periurbano,Total,0.0232
COL,Altos del Sol,NA,2019,Periurbano,Indígena,0.1376
COL,Altos del Sol,NA,2019,Periurbano,No indígena,0.1776
COL,Altos del Sol,NA,2019,Periurbano,Total,0.1576
COL,Altos del Sol,NA,2020,Periurbano,Indígena,0.0709
COL,Altos del Sol,NA,2020,Periurbano,No indígena,0.1109
COL,Altos del Sol,NA,2020,Periurbano,Total,0.0909
COL,Altos del Sol,NA,2021,Periurbano,Indígena,0.2025
COL,Altos del Sol,NA,2021,Periurbano,No indígena,0.2425
COL,Altos del Sol,NA,2021,Periurbano,Total,0.2225
COL,Altos del Sol,NA,2022,Periurbano,Indígena,0.059
COL,Altos del Sol,NA,2022,Periurbano,No indígena,0.099
COL,Altos del Sol,NA,2022,Periurbano,Total,0.079
COL,Altos del Sol,NA,2023,Periurbano,Indígena,0.4005
COL,Altos del Sol,NA,2023,Periurbano,No indígena,0.4405
COL,Altos del Sol,NA,2023,Periurbano,Total,0.4205
COL,Altos del Sol,NA,2024,Periurbano,Indígena,0.4462
COL,Altos del Sol,NA,2024,Periurbano,No indígena,0.4862
COL,Altos del Sol,NA,2024,Periurbano,Total,0.4662
COL,Altos del Sol,NA,2025,Periurbano,Indígena,0.7329
COL,Altos del Sol,NA,2025,Periurbano,No indígena,0.7729
COL,Altos del Sol,NA,2025,Periurbano,Total,0.7529
COL,Bosques del Valle,NA,2016,Periurbano,Indígena,0.0028
COL,Bosques del Valle,NA,2016,Periurbano,No indígena,0.0428
COL,Bosques del Valle,NA,2016,Periurbano,Total,0.0228
COL,Bosques del Valle,NA,2017,Periurbano,Indígena,0.3495
COL,Bosques del Valle,NA,2017,Periurbano,No indígena,0.3895
COL,Bosques del Valle,NA,2017,Periurbano,Total,0.3695
COL,Bosques del Valle,NA,2018,Periurbano,Indígena,0.4694
COL,Bosques del Valle,NA,2018,Periurbano,No indígena,0.5094
