iso3,Territorio,cod_local,anio,sexo,zona,etnia,valor
COL,Altos del Sol,NA,2016,Mujeres,periurbano,Indígena,17.2
COL,Altos del Sol,NA,2016,Mujeres,periurbano,No indígena,11.7
COL,Altos del Sol,NA,2016,Mujeres,periurbano,Total,14.2
COL,Altos del Sol,NA,2017,Mujeres,periurbano,Indígena,25.3
COL,Altos del Sol,NA,2017,Mujeres,periurbano,No indígena,16.5
COL,Altos del Sol,NA,2017,Mujeres,periurbano,Total,20
COL,Altos del Sol,NA,2018,Mujeres,periurbano,Indígena,15.5
COL,Altos del Sol,NA,2018,Mujeres,periurbano,No indígena,10.9
COL,Altos del Sol,NA,2018,Mujeres,periurbano,Total,12.7
COL,Altos del Sol,NA,2019,Mujeres,periurbano,Indígena,23.4
COL,Altos del Sol,NA,2019,Mujeres,periurbano,No indígena,16.1
COL,Altos del Sol,NA,2019,Mujeres,periurbano,Total,19.4
COL,Altos del Sol,NA,2020,Mujeres,periurbano,Indígena,22.7
COL,Altos del Sol,NA,2020,Mujeres,periurbano,No indígena,19
COL,Altos del Sol,NA,2020,Mujeres,periurbano,Total,20.8
COL,Altos del Sol,NA,2021,Mujeres,periurbano,Indígena,24.6
COL,Altos del Sol,NA,2021,Mujeres,periurbano,No indígena,17.3
COL,Altos del Sol,NA,2021,Mujeres,periurbano,Total,20.5
COL,Altos del Sol,NA,2022,Mujeres,periurbano,Indígena,15.1
COL,Altos del Sol,NA,2022,Mujeres,periurbano,No indígena,11.3
COL,Altos del Sol,NA,2022,Mujeres,periurbano,Total,13.1
COL,Altos del Sol,NA,2023,Mujeres,periurbano,Indígena,33.1
COL,Altos del Sol,NA,2023,Mujeres,periurbano,No indígena,22.2
COL,Altos del Sol,NA,2023,Mujeres,periurbano,Total,26.8
COL,Altos del Sol,NA,2024,Mujeres,periurbano,Indígena,23.6
COL,Altos del Sol,NA,2024,Mujeres,periurbano,No indígena,17.2
COL,Altos del Sol,NA,2024,Mujeres,periurbano,Total,20
COL,Altos del Sol,NA,2025,Mujeres,periurbano,Indígena,14
COL,Altos del Sol,NA,2025,Mujeres,periurbano,No indígena,9.8
COL,Altos del Sol,NA,2025,Mujeres,periurbano,Total,11.8
COL,Bosques del Valle,NA,2016,Mujeres,periurbano,Indígena,31.9
COL,Bosques del Valle,NA,2016,Mujeres,periurbano,No indígena,20.9
COL,Bosques del Valle,NA,2016,Mujeres,periurbano,Total,25.8
COL,Bosques del Valle,NA,2017,Mujeres,periurbano,Indígena,19.8
COL,Bosques del Valle,NA,2017,Mujeres,periurbano,No indígena,14.2
COL,Bosques del Valle,NA,2017,Mujeres,periurbano,Total,16.9
COL,Bosques del Valle,NA,2018,Mujeres,periurbano,Indígena,28.4
COL,Bosques del Valle,NA,2018,Mujeres,periurbano,No indígena,19.4
COL,Bosques del Valle,NA,2018,Mujeres,periurbano,Total,23.8
COL,Bosques del Valle,NA,2019,Mujeres,periurbano,Indígena,40.4
COL,Bosques del Valle,NA,2019,Mujeres,periurbano,No indígena,26.8
COL,Bosques del Valle,NA,2019,Mujeres,periurbano,Total,34.2
COL,Bosques del Valle,NA,2020,Mujeres,periurbano,Indígena,72.8
COL,Bosques del Valle,NA,2020,Mujeres,periurbano,No indígena,57.5
COL,Bosques del Valle,NA,2020,Mujeres,periurbano,Total,64.2
COL,Bosques del Valle,NA,2021,Mujeres,periurbano,Indígena,53
COL,Bosques del Valle,NA,2021,Mujeres,periurbano,No indígena,40
COL,Bosques del Valle,NA,2021,Mujeres,periurbano,Total,46.9
COL,Bosques del Valle,NA,2022,Mujeres,periurbano,Indígena,42
COL,Bosques del Valle,NA,2022,Mujeres,periurbano,No indígena,29.5
COL,Bosques del Valle,NA,2022,Mujeres,periurbano,Total,36.1
COL,Bosques del Valle,NA,2023,Mujeres,periurbano,Indígena,25.9
COL,Bosques del Valle,NA,2023,Mujeres,periurbano,No indígena,17.7
COL,Bosques del Valle,NA,2023,Mujeres,periurbano,Total,20.6
COL,Bosques del Valle,NA,2024,Mujeres,periurbano,Indígena,21.8
COL,Bosques del Valle,NA,2024,Mujeres,periurbano,No indígena,16
COL,Bosques del Valle,NA,2024,Mujeres,periurbano,Total,18.1
COL,Bosques del Valle,NA,2025,Mujeres,periurbano,Indígena,20.2
COL,Bosques del Valle,NA,2025,Mujeres,periurbano,No indígena,13.5
COL,Bosques del Valle,NA,2025,Mujeres,periurbano,Total,16.4
COL,Colinas del Valle,NA,2016,Mujeres,rural,Indígena,44.7
COL,Colinas del Valle,NA,2016,Mujeres,rural,No indígena,31.6
COL,Colinas del Valle,NA,2016,Mujeres,rural,Total,39.1
COL,Colinas del Valle,NA,2017,Mujeres,rural,Indígena,40.3
COL,Colinas del Valle,NA,2017,Mujeres,rural,No indígena,28.7
COL,Colinas del Valle,NA,2017,Mujeres,rural,Total,33.9
COL,Colinas del Valle,NA,2018,Mujeres,rural,Indígena,22
COL,Colinas del Valle,NA,2018,Mujeres,rural,No indígena,15.7
COL,Colinas del Valle,NA,2018,Mujeres,rural,Total,18.6
COL,Colinas del Valle,NA,2019,Mujeres,rural,Indígena,41.1
COL,Colinas del Valle,NA,2019,Mujeres,rural,No indígena,29.5
COL,Colinas del Valle,NA,2019,Mujeres,rural,Total,38.2
COL,Colinas del Valle,NA,2020,Mujeres,rural,Indígena,149.4
COL,Colinas del Valle,NA,2020,Mujeres,rural,No indígena,111.1
COL,Colinas del Valle,NA,2020,Mujeres,rural,Total,131.4
COL,Colinas del Valle,NA,2021,Mujeres,rural,Indígena,38.1
COL,Colinas del Valle,NA,2021,Mujeres,rural,No indígena,24.3
COL,Colinas del Valle,NA,2021,Mujeres,rural,Total,32.3
COL,Colinas del Valle,NA,2022,Mujeres,rural,Indígena,61.3
COL,Colinas del Valle,NA,2022,Mujeres,rural,No indígena,47.7
COL,Colinas del Valle,NA,2022,Mujeres,rural,Total,55.6
COL,Colinas del Valle,NA,2023,Mujeres,rural,Indígena,65.6
COL,Colinas del Valle,NA,2023,Mujeres,rural,No indígena,48.5
COL,Colinas del Valle,NA,2023,Mujeres,rural,Total,55.6
COL,Colinas del Valle,NA,2024,Mujeres,rural,Indígena,32.5
COL,Colinas del Valle,NA,2024,Mujeres,rural,No indígena,26.7
COL,Colinas del Valle,NA,2024,Mujeres,rural,Total,30.1
COL,Colinas del Valle,NA,2025,Mujeres,rural,Indígena,21.8
COL,Colinas del Valle,NA,2025,Mujeres,rural,No indígena,16.3
COL,Colinas del Valle,NA,2025,Mujeres,rural,Total,18.8
COL,El Carmen,NA,2016,Mujeres,periurbano,Indígena,25.2
COL,El Carmen,NA,2016,Mujeres,periurbano,No indígena,16.6
COL,El Carmen,NA,2016,Mujeres,periurbano,Total,20.6
COL,El Carmen,NA,2017,Mujeres,periurbano,Indígena,41.1
COL,El Carmen,NA,2017,Mujeres,periurbano,No indígena,26.2
COL,El Carmen,NA,2017,Mujeres,periurbano,Total,31
COL,El Carmen,NA,2018,Mujeres,periurbano,Indígena,16.8
COL,El Carmen,NA,2018,Mujeres,periurbano,No indígena,10.5
COL,El Carmen,NA,2018,Mujeres,periurbano,Total,13.7
COL,El Carmen,NA,2019,Mujeres,periurbano,Indígena,17
COL,El Carmen,NA,2019,Mujeres,periurbano,No indígena,12.3
COL,El Carmen,NA,2019,Mujeres,periurbano,Total,14.5
COL,El Carmen,NA,2020,Mujeres,periurbano,Indígena,30.6
COL,El Carmen,NA,2020,Mujeres,periurbano,No indígena,22.3
COL,El Carmen,NA,2020,Mujeres,periurbano,Total,25.3
COL,El Carmen,NA,2021,Mujeres,periurbano,Indígena,52.3
COL,El Carmen,NA,2021,Mujeres,periurbano,No indígena,39.7
COL,El Carmen,NA,2021,Mujeres,periurbano,Total,45
COL,El Carmen,NA,2022,Mujeres,periurbano,Indígena,70.9
COL,El Carmen,NA,2022,Mujeres,periurbano,No indígena,46.8
COL,El Carmen,NA,2022,Mujeres,periurbano,Total,53.8
COL,El Carmen,NA,2023,Mujeres,periurbano,Indígena,29.9
COL,El Carmen,NA,2023,Mujeres,periurbano,No indígena,20.8
COL,El Carmen,NA,2023,Mujeres,periurbano,Total,23.9
COL,El Carmen,NA,2024,Mujeres,periurbano,Indígena,17.1
COL,El Carmen,NA,2024,Mujeres,periurbano,No indígena,12.5
COL,El Carmen,NA,2024,Mujeres,periurbano,Total,14.1
COL,El Carmen,NA,2025,Mujeres,periurbano,Indígena,25.5
COL,El Carmen,NA,2025,Mujeres,periurbano,No indígena,18.7
COL,El Carmen,NA,2025,Mujeres,periurbano,Total,22.1
COL,El Edén,NA,2016,Mujeres,periurbano,Indígena,57.5
COL,El Edén,NA,2016,Mujeres,periurbano,No indígena,39.6
COL,El Edén,NA,2016,Mujeres,periurbano,Total,46.2
COL,El Edén,NA,2017,Mujeres,periurbano,Indígena,53.5
COL,El Edén,NA,2017,Mujeres,periurbano,No indígena,35.5
COL,El Edén,NA,2017,Mujeres,periurbano,Total,40.9
COL,El Edén,NA,2018,Mujeres,periurbano,Indígena,35.9
COL,El Edén,NA,2018,Mujeres,periurbano,No indígena,24
COL,El Edén,NA,2018,Mujeres,periurbano,Total,29
COL,El Edén,NA,2019,Mujeres,periurbano,Indígena,55
COL,El Edén,NA,2019,Mujeres,periurbano,No indígena,38.4
COL,El Edén,NA,2019,Mujeres,periurbano,Total,44.7
COL,El Edén,NA,2020,Mujeres,periurbano,Indígena,58.8
COL,El Edén,NA,2020,Mujeres,periurbano,No indígena,39.3
COL,El Edén,NA,2020,Mujeres,periurbano,Total,46.3
COL,El Edén,NA,2021,Mujeres,periurbano,Indígena,35
COL,El Edén,NA,2021,Mujeres,periurbano,No indígena,24.1
COL,El Edén,NA,2021,Mujeres,periurbano,Total,27.3
COL,El Edén,NA,2022,Mujeres,periurbano,Indígena,36.7
COL,El Edén,NA,2022,Mujeres,periurbano,No indígena,25.3
COL,El Edén,NA,2022,Mujeres,periurbano,Total,30.9
COL,El Edén,NA,2023,Mujeres,periurbano,Indígena,32
COL,El Edén,NA,2023,Mujeres,periurbano,No indígena,21.8
COL,El Edén,NA,2023,Mujeres,periurbano,Total,25.3
COL,El Edén,NA,2024,Mujeres,periurbano,Indígena,28.3
COL,El Edén,NA,2024,Mujeres,periurbano,No indígena,18.9
COL,El Edén,NA,2024,Mujeres,periurbano,Total,21.7
COL,El Edén,NA,2025,Mujeres,periurbano,Indígena,19.9
COL,El Edén,NA,2025,Mujeres,periurbano,No indígena,13.2
COL,El Edén,NA,2025,Mujeres,periurbano,Total,15.6
