anio,territorio,valor,traslado,embarazadas-empleo-informal,sobrecarga-embarazadas,apoyo-embarazadas,frecuencia-transporte,apoyo-infantil,nacimientos
2016,Altos del Sol,14.2,0.3197,0.6408,0.5726,NA,0,NA,62
2016,Bosques del Valle,25.8,0.2676,0.6447,0.3961,NA,0.0228,NA,71
2016,Colinas del Valle,39.1,0.6718,0.769,0.8599,NA,0,NA,32
2016,El Carmen,20.6,0.5871,0.7252,0.4986,NA,0.2068,NA,75
2016,El Edén,46.2,0.476,0.6079,0.3787,NA,0.0625,NA,50
2016,El Mirador,90.1,0.5542,0.6784,0.8847,NA,0.0834,NA,31
2016,El Porvenir,34.7,0.7085,0.9,0.7203,NA,0.1044,NA,26
2016,La Alameda,44.5,0.6617,0.8026,0.504,NA,0.1624,NA,29
2016,La Arboleda,24.4,0.1576,0.4464,0.444,NA,0.2299,NA,61
2016,La Cañada,55.3,0.6536,0.8914,0.6376,NA,0.0765,NA,37
2016,La Esperanza,9.5,0.0759,0.3825,0.1594,NA,0.0976,NA,103
2016,La Primavera,82.1,0.5231,0.5583,0.4338,NA,0.0229,NA,79
2016,La Rivera,8.6,0.0248,0.3653,0.1301,NA,0,NA,127
2016,Las Brisas,13.9,0.6984,0.6711,0.6075,NA,0.3619,NA,34
2016,Las Palmas,38.6,0.263,0.5658,0.3583,NA,0,NA,77
2016,Los Arrayanes,123.1,0.5697,0.754,0.4318,NA,0,NA,25
2016,Los Pinos,89.6,0.6404,0.6442,0.3735,NA,0,NA,40
2016,Los Álamos,15.1,0.6626,0.7142,0.5648,NA,0,NA,29
2016,Nueva Esperanza,38.1,0.6363,0.756,0.522,NA,0,NA,60
2016,Nueva Vida,28.4,0.5772,0.4934,0.4828,NA,0.1725,NA,60
2016,Plaza del Valle,67.3,0.419,0.8284,0.4284,NA,0.1752,NA,44
2016,San Isidro,41.8,0.6744,0.7789,0.648,NA,0.0331,NA,39
2016,San Joaquín,20.5,0.3637,0.4561,0.3304,NA,0,NA,51
2016,San Rafael,11.1,0.0243,0.4319,0.1618,NA,0,NA,127
