anio,grupo_desfavorecido,grupo_favorecido,rmm_desfavorecido,rmm_favorecido,brecha_absoluta,ic95_ba,brecha_relativa,ic95_br,interpretacion_ba,interpretacion_br
2016,periurbano,urbano,31.6,9.7,21.9,(17.5 - 26.2),3.25,(2.76 - 3.73),La RMM en zona periurbano fue 21.9 muertes por 100.000 nacidos vivos superior a la zona urbano.,La RMM en zona periurbano fue 3.25 veces la observada en zona urbano.
2017,periurbano,urbano,27.6,12.1,15.5,(12.4 - 18.6),2.29,(1.94 - 2.63),La RMM en zona periurbano fue 15.5 muertes por 100.000 nacidos vivos superior a la zona urbano.,La RMM en zona periurbano fue 2.29 veces la observada en zona urbano.
2018,periurbano,urbano,29,10.8,18.2,(14.5 - 21.8),2.68,(2.28 - 3.08),La RMM en zona periurbano fue 18.2 muertes por 100.000 nacidos vivos superior a la zona urbano.,La RMM en zona periurbano fue 2.68 veces la observada en zona urbano.
2019,periurbano,urbano,30.4,8.8,21.6,(17.3 - 26),3.47,(2.95 - 3.99),La RMM en zona periurbano fue 21.6 muertes por 100.000 nacidos vivos superior a la zona urbano.,La RMM en zona periurbano fue 3.47 veces la observada en zona urbano.
2020,periurbano,urbano,40.4,12.1,28.3,(22.7 - 34),3.34,(2.84 - 3.84),La RMM en zona periurbano fue 28.3 muertes por 100.000 nacidos vivos superior a la zona urbano.,La RMM en zona periurbano fue 3.34 veces la observada en zona urbano.
2021,periurbano,urbano,38.4,11.6,26.8,(21.5 - 32.2),3.31,(2.82 - 3.81),La RMM en zona periurbano fue 26.8 muertes por 100.000 nacidos vivos superior a la zona urbano.,La RMM en zona periurbano fue 3.31 veces la observada en zona urbano.
2022,periurbano,urbano,33.8,12,21.9,(17.5 - 26.2),2.83,(2.4 - 3.25),La RMM en zona periurbano fue 21.9 muertes por 100.000 nacidos vivos superior a la zona urbano.,La RMM en zona periurbano fue 2.83 veces la observada en zona urbano.
2023,periurbano,urbano,26.6,10.3,16.3,(13 - 19.6),2.58,(2.19 - 2.96),La RMM en zona periurbano fue 16.3 muertes por 100.000 nacidos vivos superior a la zona urbano.,La RMM en zona periurbano fue 2.58 veces la observada en zona urbano.
2024,periurbano,urbano,24.4,8.6,15.8,(12.7 - 19),2.84,(2.42 - 3.27),La RMM en zona periurbano fue 15.8 muertes por 100.000 nacidos vivos superior a la zona urbano.,La RMM en zona periurbano fue 2.84 veces la observada en zona urbano.
2025,periurbano,urbano,18.8,8.7,10.1,(8 - 12.1),2.16,(1.83 - 2.48),La RMM en zona periurbano fue 10.1 muertes por 100.000 nacidos vivos superior a la zona urbano.,La RMM en zona periurbano fue 2.16 veces la observada en zona urbano.
